WKT;LocationID;LocationID:1;count(*)
"LINESTRING (1006496.67915868 216719.218168679,997734.64523314 232321.290547517)";7;41;6
"LINESTRING (1006496.67915868 216719.218168679,1000643.63225909 237395.871547804)";7;42;8
"LINESTRING (1006496.67915868 216719.218168679,987063.185702125 216986.070033749)";7;48;8
"LINESTRING (1006496.67915868 216719.218168679,1001596.48220188 231170.723135634)";7;74;6
"LINESTRING (1006496.67915868 216719.218168679,988147.657990998 204368.501875322)";7;79;6
"LINESTRING (1006496.67915868 216719.218168679,996787.663054657 218166.43435331)";7;140;11
"LINESTRING (1006496.67915868 216719.218168679,995431.197518655 218699.19272686)";7;141;16
"LINESTRING (1006496.67915868 216719.218168679,990428.525989642 215447.527223911)";7;161;10
"LINESTRING (1006496.67915868 216719.218168679,991908.589567896 214959.581642299)";7;162;12
"LINESTRING (1006496.67915868 216719.218168679,990209.600058688 211701.315979929)";7;170;10
"LINESTRING (1006496.67915868 216719.218168679,993906.172307161 214975.366877186)";7;229;10
"LINESTRING (1006496.67915868 216719.218168679,988628.060046702 216099.139768387)";7;230;6
"LINESTRING (1006496.67915868 216719.218168679,996155.386765685 223613.753576024)";7;236;6
"LINESTRING (1006496.67915868 216719.218168679,990167.498291722 224895.872164795)";7;239;6
"LINESTRING (1006496.67915868 216719.218168679,999064.725082434 221974.400787808)";7;262;7
"LINESTRING (1006496.67915868 216719.218168679,997817.919661102 223005.98840945)";7;263;9
"LINESTRING (998142.206078638 191215.068359119,986773.546091555 201205.264891607)";17;148;7
"LINESTRING (998142.206078638 191215.068359119,988955.887520141 199673.277024996)";17;232;6
"LINESTRING (988101.221326198 189071.579139366,986773.546091555 201205.264891607)";25;148;10
"LINESTRING (988101.221326198 189071.579139366,982065.701385469 200780.540427251)";25;231;11
"LINESTRING (985567.139360788 192774.492365673,988147.657990998 204368.501875322)";33;79;15
"LINESTRING (985567.139360788 192774.492365673,982171.727891981 196785.940844905)";33;87;6
"LINESTRING (985567.139360788 192774.492365673,998235.393848758 205059.362641067)";33;112;8
"LINESTRING (985567.139360788 192774.492365673,984976.121743974 204630.607987529)";33;114;9
"LINESTRING (985567.139360788 192774.492365673,995431.197518655 218699.19272686)";33;141;6
"LINESTRING (985567.139360788 192774.492365673,985104.148522702 201915.790275745)";33;144;8
"LINESTRING (985567.139360788 192774.492365673,986773.546091555 201205.264891607)";33;148;6
"LINESTRING (985567.139360788 192774.492365673,990428.525989642 215447.527223911)";33;161;8
"LINESTRING (985567.139360788 192774.492365673,982065.701385469 200780.540427251)";33;231;6
"LINESTRING (985567.139360788 192774.492365673,980639.51176755 197635.173702467)";33;261;6
"LINESTRING (1007067.37845475 194506.264574072,988147.657990998 204368.501875322)";36;79;15
"LINESTRING (1007067.37845475 194506.264574072,986773.546091555 201205.264891607)";36;148;10
"LINESTRING (1007067.37845475 194506.264574072,997817.919661102 223005.98840945)";36;263;6
"LINESTRING (1005813.83763554 192491.07254917,984272.778632622 211948.912400082)";37;68;6
"LINESTRING (1005813.83763554 192491.07254917,988147.657990998 204368.501875322)";37;79;7
"LINESTRING (1005813.83763554 192491.07254917,986773.546091555 201205.264891607)";37;148;11
"LINESTRING (997734.64523314 232321.290547517,1043488.1868617 175062.677584866)";41;132;10
"LINESTRING (997734.64523314 232321.290547517,1019251.30697101 221428.044928507)";41;138;11
"LINESTRING (1000643.63225909 237395.871547804,990633.980641048 202959.782391137)";42;4;6
"LINESTRING (1000643.63225909 237395.871547804,1043488.1868617 175062.677584866)";42;132;6
"LINESTRING (1001091.01415382 185009.747695003,988147.657990998 204368.501875322)";61;79;6
"LINESTRING (988108.376644726 192606.948347789,990633.980641048 202959.782391137)";65;4;6
"LINESTRING (988108.376644726 192606.948347789,988147.657990998 204368.501875322)";65;79;6
"LINESTRING (988108.376644726 192606.948347789,986773.546091555 201205.264891607)";65;148;8
"LINESTRING (988108.376644726 192606.948347789,982065.701385469 200780.540427251)";65;231;6
"LINESTRING (988214.545980758 195128.663514045,979792.331028984 198691.525437532)";66;13;11
"LINESTRING (988214.545980758 195128.663514045,988147.657990998 204368.501875322)";66;79;9
"LINESTRING (988214.545980758 195128.663514045,985104.148522702 201915.790275745)";66;144;8
"LINESTRING (988214.545980758 195128.663514045,986773.546091555 201205.264891607)";66;148;6
"LINESTRING (988214.545980758 195128.663514045,981760.163009758 207069.855248185)";66;158;7
"LINESTRING (988214.545980758 195128.663514045,990428.525989642 215447.527223911)";66;161;12
"LINESTRING (988214.545980758 195128.663514045,988362.833435725 212002.893035669)";66;164;13
"LINESTRING (988214.545980758 195128.663514045,986345.398600469 211974.446218567)";66;186;7
"LINESTRING (988214.545980758 195128.663514045,983823.807116491 203008.491333003)";66;211;6
"LINESTRING (988214.545980758 195128.663514045,993906.172307161 214975.366877186)";66;229;8
"LINESTRING (988214.545980758 195128.663514045,988628.060046702 216099.139768387)";66;230;11
"LINESTRING (988214.545980758 195128.663514045,982065.701385469 200780.540427251)";66;231;17
"LINESTRING (988214.545980758 195128.663514045,983453.224648346 206902.40799529)";66;249;8
"LINESTRING (988214.545980758 195128.663514045,996053.8033052 201159.033353461)";66;255;23
"LINESTRING (988214.545980758 195128.663514045,980639.51176755 197635.173702467)";66;261;8
"LINESTRING (1001596.48220188 231170.723135634,990633.980641048 202959.782391137)";74;4;8
"LINESTRING (1001596.48220188 231170.723135634,1006496.67915868 216719.218168679)";74;7;8
"LINESTRING (1001596.48220188 231170.723135634,1019251.30697101 221428.044928507)";74;138;6
"LINESTRING (1001596.48220188 231170.723135634,1010448.24933939 222528.476020077)";74;223;8
"LINESTRING (1001596.48220188 231170.723135634,988955.887520141 199673.277024996)";74;232;7
"LINESTRING (999272.111383165 227103.75962455,1006496.67915868 216719.218168679)";75;7;8
"LINESTRING (999272.111383165 227103.75962455,1019251.30697101 221428.044928507)";75;138;6
"LINESTRING (1001771.8842985 199911.286344646,988147.657990998 204368.501875322)";80;79;13
"LINESTRING (1001771.8842985 199911.286344646,986773.546091555 201205.264891607)";80;148;12
"LINESTRING (1001771.8842985 199911.286344646,990209.600058688 211701.315979929)";80;170;6
"LINESTRING (1001771.8842985 199911.286344646,986894.236796348 209001.626630463)";80;234;6
"LINESTRING (1001771.8842985 199911.286344646,983453.224648346 206902.40799529)";80;249;6
"LINESTRING (991215.698244243 190949.618063738,984762.46928292 198844.636116602)";97;45;6
"LINESTRING (991215.698244243 190949.618063738,988147.657990998 204368.501875322)";97;79;11
"LINESTRING (991215.698244243 190949.618063738,985104.148522702 201915.790275745)";97;144;6
"LINESTRING (991215.698244243 190949.618063738,986773.546091555 201205.264891607)";97;148;7
"LINESTRING (991215.698244243 190949.618063738,990428.525989642 215447.527223911)";97;161;6
"LINESTRING (991215.698244243 190949.618063738,983453.224648346 206902.40799529)";97;249;6
"LINESTRING (986844.285359019 184655.374483703,988147.657990998 204368.501875322)";106;79;6
"LINESTRING (998235.393848758 205059.362641067,985567.139360788 192774.492365673)";112;33;6
"LINESTRING (998235.393848758 205059.362641067,988147.657990998 204368.501875322)";112;79;17
"LINESTRING (998235.393848758 205059.362641067,985089.218655358 209708.741848342)";112;90;7
"LINESTRING (998235.393848758 205059.362641067,989365.06847411 221132.775349149)";112;142;6
"LINESTRING (998235.393848758 205059.362641067,986773.546091555 201205.264891607)";112;148;18
"LINESTRING (998235.393848758 205059.362641067,988955.887520141 199673.277024996)";112;232;6
"LINESTRING (998235.393848758 205059.362641067,983453.224648346 206902.40799529)";112;249;6
"LINESTRING (998235.393848758 205059.362641067,997817.919661102 223005.98840945)";112;263;10
"LINESTRING (1016021.97076717 215206.601513239,999272.111383165 227103.75962455)";129;75;6
"LINESTRING (998411.74313442 210842.56494066,995431.197518655 218699.19272686)";145;141;7
"LINESTRING (989405.746256787 183512.266066026,997734.64523314 232321.290547517)";181;41;6
"LINESTRING (989405.746256787 183512.266066026,988147.657990998 204368.501875322)";181;79;12
"LINESTRING (989405.746256787 183512.266066026,985104.148522702 201915.790275745)";181;144;6
"LINESTRING (989405.746256787 183512.266066026,986773.546091555 201205.264891607)";181;148;7
"LINESTRING (989405.746256787 183512.266066026,990209.600058688 211701.315979929)";181;170;6
"LINESTRING (989405.746256787 183512.266066026,982065.701385469 200780.540427251)";181;231;6
"LINESTRING (989405.746256787 183512.266066026,988955.887520141 199673.277024996)";181;232;8
"LINESTRING (989405.746256787 183512.266066026,983453.224648346 206902.40799529)";181;249;10
"LINESTRING (989405.746256787 183512.266066026,997817.919661102 223005.98840945)";181;263;8
"LINESTRING (1010448.24933939 222528.476020077,990209.600058688 211701.315979929)";223;170;6
"LINESTRING (1005124.98219838 208048.827128516,993906.172307161 214975.366877186)";226;229;6
"LINESTRING (996053.8033052 201159.033353461,990633.980641048 202959.782391137)";255;4;9
"LINESTRING (996053.8033052 201159.033353461,979792.331028984 198691.525437532)";255;13;7
"LINESTRING (996053.8033052 201159.033353461,997734.64523314 232321.290547517)";255;41;6
"LINESTRING (996053.8033052 201159.033353461,987063.185702125 216986.070033749)";255;48;12
"LINESTRING (996053.8033052 201159.033353461,985597.534391923 218437.820285735)";255;50;8
"LINESTRING (996053.8033052 201159.033353461,988214.545980758 195128.663514045)";255;66;17
"LINESTRING (996053.8033052 201159.033353461,984272.778632622 211948.912400082)";255;68;8
"LINESTRING (996053.8033052 201159.033353461,988147.657990998 204368.501875322)";255;79;42
"LINESTRING (996053.8033052 201159.033353461,982171.727891981 196785.940844905)";255;87;8
"LINESTRING (996053.8033052 201159.033353461,985089.218655358 209708.741848342)";255;90;6
"LINESTRING (996053.8033052 201159.033353461,988669.590715294 207721.845998202)";255;107;11
"LINESTRING (996053.8033052 201159.033353461,985828.421266087 206174.923834477)";255;113;7
"LINESTRING (996053.8033052 201159.033353461,984976.121743974 204630.607987529)";255;114;8
"LINESTRING (996053.8033052 201159.033353461,998496.714120199 240584.409684747)";255;116;7
"LINESTRING (996053.8033052 201159.033353461,990763.615736023 209039.353889873)";255;137;15
"LINESTRING (996053.8033052 201159.033353461,996787.663054657 218166.43435331)";255;140;11
"LINESTRING (996053.8033052 201159.033353461,995431.197518655 218699.19272686)";255;141;8
"LINESTRING (996053.8033052 201159.033353461,989365.06847411 221132.775349149)";255;142;7
"LINESTRING (996053.8033052 201159.033353461,987671.709701349 221982.085493399)";255;143;6
"LINESTRING (996053.8033052 201159.033353461,985104.148522702 201915.790275745)";255;144;16
"LINESTRING (996053.8033052 201159.033353461,986773.546091555 201205.264891607)";255;148;35
"LINESTRING (996053.8033052 201159.033353461,988362.833435725 212002.893035669)";255;164;7
"LINESTRING (996053.8033052 201159.033353461,990209.600058688 211701.315979929)";255;170;15
"LINESTRING (996053.8033052 201159.033353461,986345.398600469 211974.446218567)";255;186;11
"LINESTRING (996053.8033052 201159.033353461,983823.807116491 203008.491333003)";255;211;9
"LINESTRING (996053.8033052 201159.033353461,993906.172307161 214975.366877186)";255;229;8
"LINESTRING (996053.8033052 201159.033353461,982065.701385469 200780.540427251)";255;231;10
"LINESTRING (996053.8033052 201159.033353461,988955.887520141 199673.277024996)";255;232;15
"LINESTRING (996053.8033052 201159.033353461,986894.236796348 209001.626630463)";255;234;6
"LINESTRING (996053.8033052 201159.033353461,996155.386765685 223613.753576024)";255;236;7
"LINESTRING (996053.8033052 201159.033353461,991712.764441322 227717.518058988)";255;238;7
"LINESTRING (996053.8033052 201159.033353461,990167.498291722 224895.872164795)";255;239;6
"LINESTRING (996053.8033052 201159.033353461,983137.466109154 213727.40008173)";255;246;7
"LINESTRING (996053.8033052 201159.033353461,983453.224648346 206902.40799529)";255;249;10
"LINESTRING (996053.8033052 201159.033353461,999064.725082434 221974.400787808)";255;262;7
"LINESTRING (995365.878082169 198271.799699528,990633.980641048 202959.782391137)";256;4;8
"LINESTRING (995365.878082169 198271.799699528,984272.778632622 211948.912400082)";256;68;7
"LINESTRING (995365.878082169 198271.799699528,988147.657990998 204368.501875322)";256;79;24
"LINESTRING (995365.878082169 198271.799699528,982171.727891981 196785.940844905)";256;87;7
"LINESTRING (995365.878082169 198271.799699528,988669.590715294 207721.845998202)";256;107;10
"LINESTRING (995365.878082169 198271.799699528,985828.421266087 206174.923834477)";256;113;6
"LINESTRING (995365.878082169 198271.799699528,989365.06847411 221132.775349149)";256;142;7
"LINESTRING (995365.878082169 198271.799699528,985104.148522702 201915.790275745)";256;144;13
"LINESTRING (995365.878082169 198271.799699528,986773.546091555 201205.264891607)";256;148;22
"LINESTRING (995365.878082169 198271.799699528,982065.701385469 200780.540427251)";256;231;6
"LINESTRING (995365.878082169 198271.799699528,988955.887520141 199673.277024996)";256;232;9
"LINESTRING (995365.878082169 198271.799699528,986894.236796348 209001.626630463)";256;234;8
"LINESTRING (1010211.9773427 210434.89189415,995431.197518655 218699.19272686)";260;141;6
